GeneMark.hmm PROKARYOTIC (Version 3.42)
Date: Tue May 13 03:26:44 2025
Sequence file name: seq.fna
Model file name: /home/genemark/parameters/prokaryotic/Escherichia_coli_K_12_substr__MG1655/GeneMark_hmm_combined.mod
RBS: true
Model information: Escherichia_coli_K_12_substr__MG1655

FASTA definition line: Chromosome dna:chromosome chromosome:ASM584v2:Chromosome:1:4641652:1 REF
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
    1        +          <3          98           96        1
    2        +         337        2799         2463        1
    3        +        2801        3733          933        1
    4        +        3734        5020         1287        1
    5        +        5234        5530          297        1
    6        -        5683        6459          777        1
    7        -        6529        7959         1431        1
    8        +        8238        9191          954        1
    9        +        9306        9893          588        1
   10        -        9928       10494          567        1
   11        -       10643       11356          714        1
   12        -       11382       11786          405        1
   13        +       12163       14079         1917        1
   14        +       14168       15298         1131        1
   15        +       15445       16557         1113        2
   16        -       16751       16903          153        2
   17        +       17489       18655         1167        1
   18        +       18715       19620          906        1
   19        -       19811       20314          504        1
   20        -       20815       21000          186        1
   21        +       21407       22348          942        1
   22        +       22391       25207         2817        1
   23        +       25207       25701          495        1
   24        +       25826       26275          450        1
   25        +       26277       27227          951        1
   26        +       27293       28207          915        1
   27        +       28374       29195          822        1
   28        -       29438       29533           96        1
   29        +       29651       30799         1149        1
   30        +       30817       34038         3222        1
   31        +       34300       34695          396        2
   32        -       34781       35371          591        1
   33        -       35377       36162          786        1
   34        -       36271       37824         1554        1
   35        -       37898       39115         1218        1
   36        -       39244       40386         1143        1
   37        -       40417       41757         1341        1
   38        +       42403       43173          771        1
   39        +       43188       44129          942        1
   40        +       44180       45466         1287        1
   41        +       45463       45750          288        1
   42        +       45807       47138         1332        1
   43        +       47246       47776          531        1
   44        +       47769       49631         1863        1
   45        +       49712       50302          591        1
   46        -       50380       51222          843        1
   47        -       51229       51606          378        1
   48        -       51609       52430          822        1
   49        -       52427       53416          990        1
   50        -       53416       54702         1287        1
   51        -       54755       57109         2355        1
   52        +       57364       58179          816        1
   53        +       58474       59124          651        2
   54        +       59121       59279          159        1
   55        -       59687       60346          660        1
   56        -       60358       63264         2907        1
   57        -       63429       65780         2352        1
   58        -       65855       66550          696        1
   59        -       66835       68337         1503        1
   60        -       68348       70048         1701        1
   61        +       70378       71265          888        1
   62        +       71351       72115          765        1
   63        -       72229       72927          699        1
   64        -       72911       74521         1611        1
   65        -       74497       75480          984        1
   66        -       75644       77299         1656        1
   67        +       77388       77519          132        1
   68        +       77621       78799         1179        1
   69        -       78848       79453          606        1
   70        -       79464       80864         1401        1
   71        -       80867       81958         1092        1
   72        -       81958       83529         1572        1
   73        +       84368       85312          945        1
   74        +       85654       87354         1701        1
   75        +       87357       87848          492        1
   76        +       88028       89032         1005        1
   77        +       89634       90092          459        1
   78        +       90094       91035          942        1
   79        +       91032       91397          366        1
   80        +       91413       93179         1767        1
   81        +       93166       94653         1488        1
   82        +       94650       96008         1359        1
   83        +       96002       97084         1083        1
   84        +       97087       98403         1317        1
   85        +       98403       99647         1245        1
   86        +       99668      100711         1044        1
   87        +      100765      102240         1476        1
   88        +      102233      103153          921        1
   89        +      103155      103985          831        1
   90        +      103982      105244         1263        1
   91        +      105305      106456         1152        1
   92        +      106557      107474          918        1
   93        +      107705      108217          513        1
   94        +      108279      110984         2706        1
   95        +      111044      111433          390        1
   96        -      111649      111846          198        1
   97        -      111856      112599          744        1
   98        -      112599      113219          621        1
   99        +      113444      114487         1044        1
  100        -      114522      115724         1203        1
  101        -      115714      117099         1386        1
  102        -      117109      117549          441        1
  103        -      117752      118645          894        1
  104        +      118733      119284          552        1
  105        +      119281      120135          855        1
  106        -      120178      121548         1371        1
  107        +      122092      122856          765        1
  108        +      123017      125680         2664        1
  109        +      125695      127587         1893        1
  110        +      127879      129336         1458        1
  111        -      129407      131149         1743        1
  112        +      131615      134212         2598        1
  113        +      134388      134750          363        1
  114        -      134788      135582          795        1
  115        -      135598      136464          867        1
  116        -      136570      136917          348        1
  117        +      137083      138633         1551        1
  118        -      138835      141225         2391        1
  119        +      141431      141967          537        1
  120        -      142008      142622          615        1
  121        +      142779      143705          927        1
  122        +      143702      144472          771        1
  123        +      144577      145017          441        1
  124        +      145081      146310         1230        1
  125        -      146314      146694          381        1
  126        +      146968      147870          903        1
  127        -      147944      148795          852        1
  128        -      148807      149601          795        1
  129        -      149715      150740         1026        2
  130        -      151003      151599          597        2
  131        -      151626      152228          603        1
  132        -      152243      152812          570        2
  133        -      152829      155426         2598        1
  134        -      155461      156201          741        1
  135        -      156299      156883          585        1
  136        -      157253      157732          480        1
  137        -      157729      159042         1314        1
  138        -      159186      160112          927        1
  139        -      160149      160604          456        1
  140        -      160782      161486          705        1
  141        -      161501      162031          531        1
  142        +      162105      164534         2430        1
  143        +      164537      164743          207        2
  144        +      164730      167264         2535        1
  145        +      167484      169727         2244        1
  146        +      169778      170575          798        1
  147        +      170575      171465          891        1
  148        +      171462      173444         1983        1
  149        -      173602      174882         1281        1
  150        +      175107      176528         1422        1
  151        +      176610      176954          345        1
  152        -      177001      177624          624        1
  153        -      177662      178462          801        1
  154        -      178455      179153          699        1
  155        +      179237      180754         1518        1
  156        +      180884      182308         1425        1
  157        +      182463      183620         1158        1
  158        -      183709      184095          387        1
  159        -      184257      185069          813        1
  160        -      185123      185947          825        1
  161        -      185978      188650         2673        1
  162        -      188712      189506          795        1
  163        +      189874      190599          726        1
  164        +      190857      191708          852        1
  165        +      191855      192580          726        1
  166        +      192872      193429          558        1
  167        +      193521      194717         1197        1
  168        +      194906      195664          759        1
  169        +      195677      196534          858        1
  170        +      196546      197898         1353        1
  171        +      197928      200360         2433        1
  172        +      200482      200967          486        1
  173        +      200971      201996         1026        1
  174        +      202101      202556          456        1
  175        +      202560      203348          789        1
  176        +      203348      204496         1149        1
  177        +      204493      205089          597        1
  178        +      205126      208608         3483        1
  179        +      208621      209580          960        1
  180        +      209679      211820         2142        1
  181        +      211877      212266          390        1
  182        +      212379      213629         1251        1
  183        -      213678      213938          261        1
  184        -      213925      214125          201        2
  185        +      214291      214836          546        1
  186        +      214833      215255          423        1
  187        +      215269      215979          711        1
  188        -      216179      217003          825        1
  189        -      217057      218775         1719        1
  190        -      218887      219594          708        1
  191        -      219591      219995          405        1
  192        -      220113      220928          816        1
  193        -      220968      221621          654        1
  194        -      221614      222645         1032        1
  195        +      222833      223408          576        1
  196        +      224492      224635          144        2
  197        +      227493      227612          120        1
  198        +      227616      227711           96        2
  199        +      229167      229970          804        1
  200        -      229967      230881          915        1
  201        +      231143      231922          780        1
  202        +      231926      232549          624        1
  203        -      232597      233817         1221        1
  204        -      234027      234782          756        2
  205        +      234816      235538          723        1
  206        -      235535      236002          468        1
  207        +      236058      236798          741        1
  208        +      237365      238120          756        1
  209        -      238257      238736          480        2
  210        -      238746      239084          339        2
  211        +      239190      239378          189        2
  212        -      239419      240189          771        1
  213        +      240367      240816          450        1
  214        -      240859      243303         2445        1
  215        +      243543      244121          579        1
  216        +      244327      245094          768        1
  217        -      245065      245805          741        1
  218        -      245961      246239          279        2
  219        -      246242      246502          261        1
  220        +      246757      247461          705        1
  221        +      247637      248134          498        2
  222        -      248358      250067         1710        1
  223        +      250057      250827          771        1
  224        +      250898      251953         1056        1
  225        +      252005      252298          294        2
  226        +      252301      252699          399        1
  227        +      252787      253161          375        1
  228        +      253645      254202          558        1
  229        -      254259      255716         1458        1
  230        +      255977      256435          459        1
  231        +      256527      257771         1245        1
  232        -      257923      258426          504        1
  233        +      258734      259006          273        1
  234        -      259045      260100         1056        1
  235        +      260388      261491         1104        1
  236        +      261503      262756         1254        1
  237        -      263328      263669          342        2
  238        -      263690      264007          318        1
  239        -      264256      264732          477        1
  240        -      264748      265206          459        1
  241        -      265304      265543          240        1
  242        -      265620      266060          441        1
  243        -      266110      266553          444        1
  244        -      266553      266729          177        1
  245        +      266755      266922          168        2
  246        -      267184      268005          822        1
  247        -      268097      268960          864        1
  248        -      269289      270182          894        1
  249        +      270278      270646          369        1
  250        +      270720      271754         1035        2
  251        +      272016      272255          240        1
  252        +      272847      273992         1146        2
  253        -      274101      275081          981        1
  254        +      275364      276728         1365        1
  255        +      276715      277647          933        1
  256        -      277756      278802         1047        1
  257        -      278814      279176          363        1
  258        -      279178      279681          504        1
  259        -      280024      280362          339        1
  260        -      280385      280735          351        1
  261        -      280829      281971         1143        1
  262        +      282278      283186          909        1
  263        +      283201      285168         1968        1
  264        +      285395      286777         1383        1
  265        +      286789      288399         1611        1
  266        -      288404      289162          759        1
  267        -      289301      290305         1005        1
  268        +      290516      290638          123        2
  269        -      290649      291152          504        1
  270        +      291500      292231          732        1
  271        -      292322      292948          627        2
  272        -      293220      293918          699        2
  273        -      293945      294799          855        2
  274        -      294918      295142          225        2
  275        -      295139      295579          441        2
  276        -      295696      297021         1326        2
  277        -      297381      297791          411        2
  278        -      297770      298726          957        1
  279        -      298736      300934         2199        1
  280        -      300931      301887          957        1
  281        -      301884      302573          690        1
  282        +      302991      303605          615        1
  283        -      304495      305205          711        1
  284        -      305174      306793         1620        1
  285        -      306807      309332         2526        1
  286        -      309358      310026          669        1
  287        -      310084      310671          588        1
  288        -      310746      311288          543        2
  289        +      312112      312339          228        2
  290        -      312374      312514          141        1
  291        -      312514      312777          264        2
  292        -      313141      313242          102        1
  293        +      314357      315244          888        1
  294        +      315291      315590          300        1
  295        +      315587      316453          867        1
  296        -      316450      317136          687        2
  297        -      317726      318319          594        1
  298        -      318331      318567          237        1
  299        -      318676      320001         1326        1
  300        +      320227      321081          855        2
  301        +      321608      322327          720        1
  302        +      322338      323765         1428        1
  303        +      323758      324453          696        1
  304        -      324696      325364          669        2
  305        -      325577      327247         1671        1
  306        -      327261      328733         1473        1
  307        -      328747      329334          588        1
  308        +      329463      331496         2034        1
  309        +      332371      333459         1089        1
  310        -      333501      334433          933        1
  311        -      334525      335022          498        1
  312        +      335280      335885          606        1
  313        +      335925      336788          864        1
  314        +      336778      338325         1548        1
  315        +      338325      339743         1419        1
  316        +      339793      340089          297        1
  317        +      340165      341115          951        1
  318        +      341125      342507         1383        1
  319        +      342884      343933         1050        1
  320        +      344176      344991          816        2
  321        +      345404      345649          246        2
  322        -      345666      346337          672        1
  323        +      346484      346759          276        1
  324        -      346857      348443         1587        1
  325        +      348682      349572          891        1
  326        +      350012      351181         1170        1
  327        +      351215      352666         1452        1
  328        +      352706      354592         1887        1
  329        +      354922      356181         1260        1
  330        +      356171      357454         1284        1
  331        -      357791      358690          900        1
  332        +      358799      359458          660        1
  333        +      359489      359959          471        1
  334        +      359992      361146         1155        1
  335        -      361249      361809          561        1
  336        -      361926      363179         1254        1
  337        -      363231      366305         3075        1
  338        -      366428      367510         1083        1
  339        -      367587      368432          846        1
  340        +      368611      370275         1665        1
  341        +      370277      371221          945        1
  342        +      371239      372105          867        1
  343        +      372115      372924          810        1
